parcel_id,parcel_seq_num,parcel_order_number,unique_idprc,shipment_id,weight,status
P069,1,PO1069,UIDPRC1069,S034,4.43,Created
P070,2,PO1070,UIDPRC1070,S034,1.12,Created
P071,1,PO1071,UIDPRC1071,S035,1.59,Created
P072,2,PO1072,UIDPRC1072,S035,1.31,Created
P073,3,PO1073,UIDPRC1073,S035,3.69,Created
P074,1,PO1074,UIDPRC1074,S036,2.16,Created
P075,2,PO1075,UIDPRC1075,S036,3.37,Created
P076,3,PO1076,UIDPRC1076,S036,3.09,Created
P077,1,PO1077,UIDPRC1077,S037,3.33,Created
P078,2,PO1078,UIDPRC1078,S037,1.29,Created
P079,3,PO1079,UIDPRC1079,S037,1.0,Created
P080,1,PO1080,UIDPRC1080,S038,1.97,Created
P081,2,PO1081,UIDPRC1081,S038,3.05,Created
P082,1,PO1082,UIDPRC1082,S039,0.72,Created
P083,1,PO1083,UIDPRC1083,S040,4.69,Created
P084,1,PO1084,UIDPRC1084,S041,4.72,Created
P085,2,PO1085,UIDPRC1085,S041,2.96,Created
P086,1,PO1086,UIDPRC1086,S042,1.55,Created
P087,2,PO1087,UIDPRC1087,S042,3.65,Created
P088,3,PO1088,UIDPRC1088,S042,1.67,Created
P089,1,PO1089,UIDPRC1089,S043,3.17,Created
P090,2,PO1090,UIDPRC1090,S043,2.2,Created
P091,3,PO1091,UIDPRC1091,S043,2.64,Created
P092,1,PO1092,UIDPRC1092,S044,3.71,Created
P093,2,PO1093,UIDPRC1093,S044,3.36,Created
P094,3,PO1094,UIDPRC1094,S044,4.15,Created
P095,1,PO1095,UIDPRC1095,S045,1.3,Created
P096,1,PO1096,UIDPRC1096,S046,2.38,Created
P097,2,PO1097,UIDPRC1097,S046,2.96,Created
P098,3,PO1098,UIDPRC1098,S046,4.02,Created
P099,1,PO1099,UIDPRC1099,S047,1.73,Created
P100,1,PO1100,UIDPRC1100,S048,1.82,Created
P101,1,PO1101,UIDPRC1101,S049,0.81,Created
P102,2,PO1102,UIDPRC1102,S049,0.56,Created
P103,1,PO1103,UIDPRC1103,S051,3.02,Created
P104,2,PO1104,UIDPRC1104,S051,3.41,Created
P105,3,PO1105,UIDPRC1105,S051,2.37,Created
P106,1,PO1106,UIDPRC1106,S052,3.0,Created
P107,1,PO1107,UIDPRC1107,S053,4.01,Created
P108,2,PO1108,UIDPRC1108,S053,4.17,Created
P109,3,PO1109,UIDPRC1109,S053,4.26,Created
P110,1,PO1110,UIDPRC1110,S054,1.41,Created
P111,2,PO1111,UIDPRC1111,S054,4.41,Created
P112,3,PO1112,UIDPRC1112,S054,1.92,Created
P113,1,PO1113,UIDPRC1113,S055,4.36,Created
P114,2,PO1114,UIDPRC1114,S055,2.76,Created
P115,3,PO1115,UIDPRC1115,S055,2.84,Created
P116,1,PO1116,UIDPRC1116,S056,0.97,Created
P117,2,PO1117,UIDPRC1117,S056,1.88,Created
P118,1,PO1118,UIDPRC1118,S057,4.31,Created
P119,2,PO1119,UIDPRC1119,S057,2.13,Created
P120,1,PO1120,UIDPRC1120,S058,0.58,Created
P121,2,PO1121,UIDPRC1121,S058,4.86,Created
P122,3,PO1122,UIDPRC1122,S058,2.37,Created
P123,1,PO1123,UIDPRC1123,S059,4.54,Created
P124,2,PO1124,UIDPRC1124,S059,0.77,Created
P125,1,PO1125,UIDPRC1125,S060,1.59,Created
P126,1,PO1126,UIDPRC1126,S061,3.74,Created
P127,1,PO1127,UIDPRC1127,S062,4.81,Created
P128,1,PO1128,UIDPRC1128,S063,0.55,Created
P129,1,PO1129,UIDPRC1129,S064,3.8,Created
P130,2,PO1130,UIDPRC1130,S064,3.0,Created
P131,1,PO1131,UIDPRC1131,S065,1.77,Created
P132,2,PO1132,UIDPRC1132,S065,3.46,Created
P133,3,PO1133,UIDPRC1133,S065,2.76,Created
P134,1,PO1134,UIDPRC1134,S066,1.7,Created
P135,1,PO1135,UIDPRC1135,S067,1.92,Created
P136,1,PO1136,UIDPRC1136,S068,3.79,Created
P137,2,PO1137,UIDPRC1137,S068,2.53,Created
P138,1,PO1138,UIDPRC1138,S069,2.65,Created
P139,2,PO1139,UIDPRC1139,S069,3.83,Created
P140,1,PO1140,UIDPRC1140,S070,3.09,Created
P141,1,PO1141,UIDPRC1141,S071,0.53,Created
P142,2,PO1142,UIDPRC1142,S071,3.14,Created
P143,1,PO1143,UIDPRC1143,S072,4.07,Created
P144,1,PO1144,UIDPRC1144,S073,4.73,Created
P145,2,PO1145,UIDPRC1145,S073,1.08,Created
P146,3,PO1146,UIDPRC1146,S073,1.79,Created
P147,1,PO1147,UIDPRC1147,S074,4.39,Created
P148,2,PO1148,UIDPRC1148,S074,1.95,Created
P149,1,PO1149,UIDPRC1149,S075,1.1,Created
P150,1,PO1150,UIDPRC1150,S076,4.55,Created
P151,2,PO1151,UIDPRC1151,S076,0.72,Created
P152,1,PO1152,UIDPRC1152,S077,2.32,Created
P153,1,PO1153,UIDPRC1153,S078,4.77,Created
P154,2,PO1154,UIDPRC1154,S078,4.41,Created
P155,3,PO1155,UIDPRC1155,S078,3.33,Created
P156,1,PO1156,UIDPRC1156,S079,4.8,Created
P157,1,PO1157,UIDPRC1157,S080,4.45,Created
P158,2,PO1158,UIDPRC1158,S080,1.44,Created
P159,3,PO1159,UIDPRC1159,S080,3.2,Created
P160,1,PO1160,UIDPRC1160,S081,4.34,Created
P161,1,PO1161,UIDPRC1161,S082,1.01,Created
P162,2,PO1162,UIDPRC1162,S082,1.91,Created
P163,1,PO1163,UIDPRC1163,S083,3.23,Created
P164,2,PO1164,UIDPRC1164,S083,3.33,Created
P165,3,PO1165,UIDPRC1165,S083,2.55,Created
P166,1,PO1166,UIDPRC1166,S084,0.53,Created
P167,1,PO1167,UIDPRC1167,S085,2.39,Created
P168,2,PO1168,UIDPRC1168,S085,4.63,Created
P169,3,PO1169,UIDPRC1169,S085,0.53,Created
P170,1,PO1170,UIDPRC1170,S086,1.99,Created
P171,1,PO1171,UIDPRC1171,S200,2.5,Created
P172,1,PO1172,UIDPRC1172,S010,0.0,Created
P173,1,PO1173,UIDPRC1173,S011,3.2,Created
